,ARRONDISSEMENT,NAME,N_SQ_AR,C_AR,C_ARINSEE,L_AR,N_SQ_CO,SURFACE,PERIMETRE,Geometry X,Geometry Y,LONGUEUR
1,3,Temple,750 000 003,3,75 103,3ème Ardt,750 001 537,"1 170 882,828","4 519,264",48.86287238,2.360000986,"4 519,072"
2,19,Buttes-Chaumont,750 000 019,19,75 119,19ème Ardt,750 001 537,"6 792 651,129","11 253,182",48.887076,2.38482096,"11 252,943"
3,14,Observatoire,750 000 014,14,75 114,14ème Ardt,750 001 537,"5 614 877,309","10 317,483",48.8292445,2.326542044,"10 316,720"
4,10,Entrepôt,750 000 010,10,75 110,10ème Ardt,750 001 537,"2 891 739,442","6 739,375",48.87613004,2.360728488,"6 739,168"
5,12,Reuilly,750 000 012,12,75 112,12ème Ardt,750 001 537,"16 314 782,637","24 089,666",48.83497438,2.421324901,"24 088,039"
6,16,Passy,750 000 016,16,75 116,16ème Ardt,750 001 537,"16 372 542,129","17 416,110",48.86039211,2.261970788,"17 415,327"
7,11,Popincourt,750 000 011,11,75 111,11ème Ardt,750 001 537,"3 665 441,552","8 282,012",48.85905922,2.380058308,"8 281,635"
8,2,Bourse,750 000 002,2,75 102,2ème Ardt,750 001 537,"991 153,745","4 554,104",48.86827922,2.342802547,"4 553,939"
9,4,Hôtel-de-Ville,750 000 004,4,75 104,4ème Ardt,750 001 537,"1 600 585,632","5 420,908",48.85434143,2.35762962,"5 420,637"
10,17,Batignolles-Monceau,750 000 017,17,75 117,17ème Ardt,750 001 537,"5 668 834,504","10 775,580",48.88732652,2.306776991,"10 775,349"
11,18,Buttes-Montmartre,750 000 018,18,75 118,18ème Ardt,750 001 537,"5 996 051,308","9 916,464",48.89256927,2.34816052,"9 916,304"
12,1,Louvre,750 000 001,1,75 101,1er Ardt,750 001 537,"1 824 612,860","6 054,937",48.8625627,2.336443362,"6 054,681"
13,5,Panthéon,750 000 005,5,75 105,5ème Ardt,750 001 537,"2 539 374,623","6 239,195",48.84444315,2.35071461,"6 238,823"
14,7,Palais-Bourbon,750 000 007,7,75 107,7ème Ardt,750 001 537,"4 090 057,185","8 099,425",48.85617443,2.312187691,"8 099,033"
15,20,Ménilmontant,750 000 020,20,75 120,20ème Ardt,750 001 537,"5 983 446,037","10 704,940",48.86346058,2.401188129,"10 704,484"
16,8,Élysée,750 000 008,8,75 108,8ème Ardt,750 001 537,"3 880 036,397","7 880,533",48.87272084,2.312554022,"7 880,261"
17,9,Opéra,750 000 009,9,75 109,9ème Ardt,750 001 537,"2 178 303,275","6 471,588",48.87716352,2.337457543,"6 471,389"
18,13,Gobelins,750 000 013,13,75 113,13ème Ardt,750 001 537,"7 149 311,091","11 546,547",48.82838803,2.36227244,"11 545,687"
19,15,Vaugirard,750 000 015,15,75 115,15ème Ardt,750 001 537,"8 494 994,081","13 678,798",48.84008538,2.292825822,"13 677,924"
20,6,Luxembourg,750 000 006,6,75 106,6ème Ardt,750 001 537,"2 153 095,586","6 483,687",48.84913036,2.332897999,"6 483,325"
